Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1297008	0	0	0.201550482456966	0.10729646802405	0	0.0958401300292302	0	0	0.0516564276127077	0	0	0.0907463725037677	0.0847263548986963	0.0277680055983433	0.064242412673549	0.0926981014029822	0.0613968913314785	0	0.109262325480385	0	0.0128160279878443	0	0.005	0.271986241979598	0.972403427407795
GSM1297009	0	0.1320583137505	0.122073385542689	0.212065999314089	0	0.0962171348913292	0.0558121414776538	0.00861423753055492	0.0842671188662056	0	0	0	0.019815565809045	0	0.0452396060981908	0.168250939957868	0	0	0.0501239769515589	0	0.00546157981031526	0	0	0.557937320805991	0.836641850758399
GSM1297010	0	0.0182758210849207	0.299983624592693	0.103150461780248	0	0.0247605854861479	0.0290251482788956	0	0.133491419284629	0	0.00849346912156554	0.0310473655612966	0.0754468905204276	0	0.124256926222002	0.0613594828906403	0.0301349244988257	0.000578638297039601	0	0.0351409246862013	0.0248543176944681	0	0	0.419608780929747	0.911576254671575
GSM1297011	0	0.00848987914098782	0.191839577204344	0.255164177039839	0	0.0092452185118303	0	0.0110236438911105	0.141950386822133	0	0	0.0609891407301264	0.0936801144832724	0	0.0215191685741818	0.093561495967589	0	0	0	0.112537197634585	0	0	0	0.390342388183394	0.923911490613935
GSM1297012	0	0.0844070506463876	0.182209106532441	0.140177390857495	0	0	0.103234402720957	0.00665385699598768	0.00829679788506969	0	0	0.0405161466138162	0	0.107613750023844	0.187492499968126	0.083322628661636	0.00977516787116749	0	0.0295104688201755	0	0	0.0167907324028967	0	0.529988359205227	0.847699904502349
GSM1297013	0.0260591493684712	0.0395504992497141	0.128446773974723	0.190987645236911	0	0	0	0.0275938879233392	0.172626162070393	0	0	0.0572791992969341	0.0566566488610791	0	0.0236936137222408	0.149647401040304	0.0236249495100009	0	0.103834069745889	0	0	0	0	0.4044630935549	0.914123650521409
GSM1297014	0	0.0587217721883844	0.124233202200547	0.204328315155053	0	0	0.120080539596379	0	0.0884863310326229	0	0	0.0132811817888113	0.0466417419930912	0.00285690609939366	0.0715152606389044	0.0855820955431131	0.0540359865458357	0.0430590281895713	0.0871776390282935	0	0	0	0	0.466100822675349	0.886295571113706
GSM1297015	0	0.0321549450353583	0.163730824246672	0.113217931341599	0	0.164341315919978	0	0	0.101914226207843	0	0	0.0327860471714748	0.0736910725601042	0	0.0115387266045073	0.0582011110219196	0.0766991448788348	0	0.0760153713360607	0.0696740380749919	0.026035245600656	0	0.044	0.168826304707631	1.01622576167077
GSM1297016	0	0.0972442783244084	0.0943837305905548	0.0533927229379056	0	0.0278139578079116	0	0	0.0681123516161017	0.000456980577143106	0	0.0193756694400614	0.0162583339319004	0.0760114468912524	0.00464845568171496	0.197336021418842	0.0376199854456616	0.0250272086907073	0.118527243165286	0	0.163791613480549	0	0	0.464356873929379	0.888416436277464
GSM1297017	0	0.0698991898409995	0.270172797721555	0.12077700901984	0	0.0121853702474145	0	0	0.097254956530908	0	0	0.0801593032131103	0.0602376509258098	0	0.0217579682416117	0.0905768744330937	0.108413856958022	0	0.0620585823372852	0.0065064405303498	0	0	0.034	0.184406419288016	1.02538473803994
GSM1297018	0	0.0886418895322053	0.380623227409864	0.130370320105133	0	0	0	0	0.161712387550754	0	0	0.015591279209013	0	0.0508828556157999	0.0967949467423417	0.0397447346816932	0	0	0.030075520353756	0	0.00556283879944024	0	0	0.424839519560878	0.923519755184519
GSM1297019	0	0.131329108417699	0.303552525947962	0.0433734902570841	0.0312710543651238	0.0543955748610708	0	0	0.116016116878469	0	0	0.040333395996909	0.0680407845706531	0.00259414679862851	0.0567225346795755	0.0124293786569864	0.0780134735791012	0	0	0.0619284149907385	0	0	0.153	0.104438230493372	1.08458463030727
GSM1297020	0	0.110046189917496	0.0755871626115342	0.238837152797672	0	0	0.0470875486967591	0.00921704409781244	0.0276966387203549	0.00735551221712842	0	0.042585616721444	0.0352843825246888	0	0.156890917454573	0.128889200010327	0.0213180711963622	0	0.0912653337939404	0	0.00793922923990806	0	0	0.499349198670007	0.866858442286316
GSM1297021	0	0	0.231804786077137	0.157168770073663	0	0.0406683880006159	0	0	0.0913822439450393	0	0	0.100184607351693	0.060896282888927	0	0.0183200587758567	0.0539583951945427	0.104437363191099	0	0.116193795125337	0.0226022136848723	0.00238309569121697	0	0.00900000000000001	0.249182560216067	0.988083142236647
