"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LAMB4",-3.79246896843575,8.40576848980447,-28.6603586531967,5.85843199457666e-95,1.09149911098956e-92,206.130433826084
"HOXD11",4.2396168075419,9.4221873646648,28.6546158730849,6.1603328022702e-95,1.13591456187015e-92,206.080298338425
"CFAP251",3.61424174162011,10.1840549719274,28.6394122428348,7.0369883410916e-95,1.2843221782527e-92,205.947548777019
"FCHO2",-1.70621905586592,12.276490321229,-28.519888012034,2.00478142685007e-94,3.62197177784247e-92,204.902961904633
"ENDOU",-5.00814499273743,10.6571178002793,-28.5158832060872,2.07641657612337e-94,3.71387868805427e-92,204.867932027876
"CSTB",-2.76994859217877,15.8689416703911,-28.5105814154298,2.17521014469107e-94,3.85206026217272e-92,204.821554518057
"RBFOX3",-3.81065189832402,8.21903374748603,-28.4853409588908,2.71409484848593e-94,4.75924514313914e-92,204.600716937888
"CAST",-1.18525981779729,12.3236238763368,-28.4567945637542,3.48641169363181e-94,6.05417083032025e-92,204.350862520839
"MCM2",1.91252782122905,12.3313529818436,28.3996308512049,5.75814936271062e-94,9.90290956744635e-92,203.850239601326
"CAPN14",-4.76942490642458,11.291822275,-28.3789036678611,6.90772904236731e-94,1.17668230144554e-91,203.668620491433
"YOD1",-2.76924591620112,13.3212807067039,-28.3674841762711,7.63656589855882e-94,1.28856243077003e-91,203.568536821901
"LPIN1",-2.26166238952514,10.8210160622207,-28.2088552011245,3.0812541036057e-93,5.1505898034665e-91,202.176658639034
"PLPP4",3.38480777765363,7.94618299776536,28.189568684999,3.65152335297563e-93,6.04732839734464e-91,202.007226284095
"SORT1",-1.89531422625699,12.7453318756983,-28.1165449529332,6.94817285206496e-93,1.1401377947893e-90,201.365311436462
"ANXA9",-3.27243983184358,9.96838568463687,-28.0841590393658,9.2442149537326e-93,1.49873406097308e-90,201.08042078744
"TTYH3",2.31683005865922,11.8209568058659,28.0834633383389,9.30110034485137e-93,1.49873406097308e-90,201.074299519433
"TRIP10",-2.06361945391061,13.2419289587989,-28.0493859583855,1.25623017214122e-92,2.00615471954623e-90,200.774392589425
"IL1RN",-2.92597034357542,14.7215686959963,-28.0241050730568,1.5701715907102e-92,2.47254202825218e-90,200.551812778901
"ADAM12",1.89768221675977,9.82359159916201,28.0236906955168,1.5759241374301e-92,2.47254202825218e-90,200.548163856773
"SNX9",-1.08907904171322,10.2387805430168,-27.9418910955779,3.24505201790202e-92,5.04704351236483e-90,199.827456706161
"COL1A2",2.08960427234637,14.657505347067,27.9329336215885,3.5123084115953e-92,5.41561622843047e-90,199.748487657386
"ADAMTS2",2.36966823649907,10.7142306098696,27.9186990917347,3.98309598929442e-92,6.08903033030086e-90,199.622976666785
"TENT5B",-2.83159550837989,11.839962377095,-27.914580119426,4.13076183720165e-92,6.26125476442277e-90,199.586653749631
"CAB39L",-1.65831671620112,8.70591937234637,-27.8845462237586,5.38681348740115e-92,8.09651647358462e-90,199.321741236327
"RAB10",-1.37028900698324,14.5069346194134,-27.8341953873523,8.40880807830394e-92,1.2533328440712e-89,198.877386219588
"EIF2AK2",1.23887496229051,12.5418891780726,27.8190453763614,9.61506689479581e-92,1.42128170644891e-89,198.743626433136
"ANGPTL1",-2.56976419860336,9.40008803701117,-27.7812327741144,1.34371720318031e-91,1.96997753246582e-89,198.409660678804
"SLC4A3",-1.86994562849162,10.9164924469274,-27.7549299497236,1.69613877903922e-91,2.4664340001541e-89,198.177251957237
"LDB3",-3.57902357793296,7.69358603812849,-27.7414112934864,1.91189519442625e-91,2.75775463286353e-89,198.057771161068
"GNA14",-2.34315944134078,9.05456852793296,-27.7348588575602,2.02615608191873e-91,2.89918621449588e-89,197.999851627398
"SIX4",3.56549794162011,8.98710672639665,27.7253010492815,2.20520011177674e-91,3.13033406343165e-89,197.915357432587
"ENSG00000286022",-4.45212080167598,13.8157760606145,-27.6972390155953,2.82779283579257e-91,3.98251202055007e-89,197.667218049209
"MINDY1",-2.06618896368715,11.856944146648,-27.6701604795412,3.59500738792115e-91,5.02346110471544e-89,197.427688078492
"CTTNBP2",-3.32560884804469,10.9281226011173,-27.6503573398602,4.28514157876729e-91,5.94139862618851e-89,197.252460282454
"DNMT3B",1.94433971564246,8.45903904944134,27.598338562783,6.7981823883356e-91,9.3532530921362e-89,196.791955183168
"SMIM5",-3.79807663184358,11.6766444578212,-27.5663712918108,9.02879582553369e-91,1.23274077966027e-88,196.508803228504
"FCER1A",-3.69980969441341,10.494102674581,-27.5623333938419,9.35836514042324e-91,1.26805847652735e-88,196.473028862674
"KIF20A",2.21200412793296,12.2811127963687,27.5557513288377,9.9216114914641e-91,1.33427024914531e-88,196.414710004607
"C18orf25",-1.66269550279329,12.4615364916201,-27.5159435359954,1.41298725429769e-90,1.88602164405734e-88,196.061895093634
"OR4S1",-3.50011660670391,9.70037215251397,-27.4986130191545,1.64821723546116e-90,2.18370470173765e-88,195.90823796068
"PHACTR2",-1.75048014096834,12.3780211716015,-27.4945582467716,1.70869072974619e-90,2.24717958766473e-88,195.872282206762
"IKZF2",-2.50686245903166,10.9754960324022,-27.3821809197602,4.64195115891532e-90,6.06028747652259e-88,194.875017605526
"TNXB",-1.31796094379888,9.75277512988827,-27.3636177375637,5.47593409129668e-90,7.09728675050235e-88,194.710142899405
"PLEKHA6",-1.5924088019553,10.5603554375698,-27.3188822552063,8.15563519949574e-90,1.04943662718116e-87,194.312647595896
"AGRN",1.54097765642458,13.036617023743,27.3132013391239,8.57894675933159e-90,1.09602172669575e-87,194.262153563864
