"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ERO1A",-1.73362373277467,13.9420004613594,-19.2931254268628,1.79036636634775e-57,4.32152399844748e-56,119.995957012193
"EYA2",-1.92445055865922,12.014184801676,-17.2733279204638,3.91712630116826e-49,6.28356242356014e-48,100.839144711041
"FADD",1.76150294134078,12.1700843589385,17.921224258024,8.3492674081013e-52,1.5038771083716e-50,106.974205083854
"FAIM2",-1.05206524217877,9.30601904064246,-13.026160184848,4.73364656642309e-32,3.61511539227341e-31,61.6434270443257
"FGF10",-2.02823492346369,7.69237492765363,-15.4758112001792,8.81299936849802e-42,1.01827717509661e-40,83.9600397479293
"G0S2",1.21772063463687,11.5343121539106,9.77084012175654,3.70061578493919e-20,1.59223511978404e-19,34.4343151969702
"GSDME",1.90118145083798,9.61305404273743,16.1702157364919,1.31440107852921e-44,1.72990269982144e-43,90.4476454825958
"GZMB",1.02948439916201,11.2841149914804,7.09778180247549,6.78214751613314e-12,1.89008243180987e-11,15.6409611538634
"HRK",1.18252097178771,8.55584987276536,8.82155677820709,4.93322047228339e-17,1.82229618684966e-16,27.3098618484588
"IFI16",1.13174573882681,14.3049954015363,23.2017183154817,1.68929963563863e-73,8.99250395328349e-72,156.819125923188
"IFI27",1.11832881471136,14.0180965293296,9.24725440299852,2.0664228410821e-18,8.18061950765703e-18,30.4494827434822
"IFI6",2.01614041620112,14.4763094790503,20.8201767549464,8.99306537760566e-64,3.00093222656445e-62,134.46874797459
"IL12A",-3.39065451396648,7.11704506256983,-23.1576992728391,2.54636188072658e-73,1.33560787679401e-71,156.409584314713
"IL1A",-1.04985917150838,11.2721648002793,-5.28865234257086,2.14227273490708e-07,4.50784589841742e-07,5.51767776021442
"IL1B",1.14620176759777,11.101119875419,8.66304963794806,1.57010764846297e-16,5.65276678752187e-16,26.1650871565396
"IL2",-3.75182430782123,6.46574724832402,-32.6616906143052,9.77506070532659e-110,4.60096673093346e-107,240.072451946908
"IL33",-2.42408745642458,11.2729176712291,-17.4962099039811,4.72936489221662e-50,7.9352176793796e-49,102.947728094367
"INHBA",2.75784459217877,12.3199681703911,33.1646928778478,1.56251111470746e-111,8.733460561768e-109,244.196962390034
"ITGA6",1.78092282104283,11.2905549937616,20.8097072631803,9.93067036144497e-64,3.307634452231e-62,134.3697797805
"ITGAV",1.16010299441341,12.6008047150838,18.9459052923057,4.87527380490962e-56,1.08998934093267e-54,116.699144059483
"ITPR1",-1.18377375977654,11.5858493351955,-13.7838917459436,5.20068680340938e-35,4.55308292539306e-34,68.4268956041898
"LGALS3",-1.36936662383613,14.2058797392924,-18.7246550007062,4.00407060647901e-55,8.50555901038997e-54,114.598318986944
