Index	Query genes	# Input	# Found	TF	# Datasets
135	HSP90AA1, EIF2AK2	5	2	KLF6	1
136	HSP90AA1, LRRK2	5	2	KLF5	12
137	HSP90AA1, EIF2AK2	5	2	AHR	5
138	HSP90AA1, EIF2AK2	5	2	PLAG1	1
139	HSP90AA1, EIF2AK2	5	2	KLF9	2
140	HSP90AA1, HSPB8	5	2	ZBTB6	1
141	HSP90AA1, EIF2AK2	5	2	NR4A1	3
142	INHBA, HSPB8	5	2	OSR2	1
143	HSP90AA1, HSPB8	5	2	AZF1	1
144	HSP90AA1, LRRK2	5	2	EBF3	1
145	HSP90AA1, LRRK2	5	2	EBF1	4
146	HSP90AA1, EIF2AK2	5	2	E2F6	6
147	HSP90AA1, EIF2AK2	5	2	E2F1	19
148	HSP90AA1, HSPB8	5	2	ZBTB42	1
149	HSP90AA1, EIF2AK2	5	2	ATF1	3
